"year","zone","birthweight","measure","value"
"2007-2009","S01001790","Live Singleton Births","Count",17
"2008-2010","S01001790","Live Singleton Births","Count",17
"2001-2003","S01001790","Low Weight Births","Count",0
"2002-2004","S01001790","Low Weight Births","Count",0
"2009-2011","S01001790","Low Weight Births","Count",0
"2009-2011","S01001790","Live Singleton Births","Count",17
"2003-2005","S01001790","Low Weight Births","Count",0
"2010-2012","S01001790","Live Singleton Births","Count",19
"2000-2002","S01001790","Live Singleton Births","Count",19
"2004-2006","S01001790","Low Weight Births","Count",0
"2010-2012","S01001790","Low Weight Births","Count",0
"2011-2013","S01001790","Live Singleton Births","Count",16
"2001-2003","S01001790","Live Singleton Births","Count",10
"2005-2007","S01001790","Low Weight Births","Count",0
"2002-2004","S01001790","Live Singleton Births","Count",10
"2011-2013","S01001790","Low Weight Births","Count",0
"2003-2005","S01001790","Live Singleton Births","Count",11
"2006-2008","S01001790","Low Weight Births","Count",1
"2004-2006","S01001790","Live Singleton Births","Count",12
"2007-2009","S01001790","Low Weight Births","Count",1
"2005-2007","S01001790","Live Singleton Births","Count",14
"2000-2002","S01001790","Low Weight Births","Count",0
"2008-2010","S01001790","Low Weight Births","Count",1
"2006-2008","S01001790","Live Singleton Births","Count",15
"2010-2012","S01001790","Low Weight Births","Ratio",0
"2005-2007","S01001790","Low Weight Births","Ratio",0
"2006-2008","S01001790","Low Weight Births","Ratio","6.67"
"2011-2013","S01001790","Low Weight Births","Ratio",0
"2007-2009","S01001790","Low Weight Births","Ratio","5.88"
"2008-2010","S01001790","Low Weight Births","Ratio","5.88"
"2000-2002","S01001790","Low Weight Births","Ratio",0
"2001-2003","S01001790","Low Weight Births","Ratio",0
"2002-2004","S01001790","Low Weight Births","Ratio",0
"2003-2005","S01001790","Low Weight Births","Ratio",0
"2009-2011","S01001790","Low Weight Births","Ratio",0
"2004-2006","S01001790","Low Weight Births","Ratio",0
"2007-2009","S01001791","Live Singleton Births","Count",9
"2008-2010","S01001791","Live Singleton Births","Count",10
"2001-2003","S01001791","Low Weight Births","Count",0
"2002-2004","S01001791","Low Weight Births","Count",0
"2009-2011","S01001791","Low Weight Births","Count",0
"2009-2011","S01001791","Live Singleton Births","Count",16
"2003-2005","S01001791","Low Weight Births","Count",0
"2010-2012","S01001791","Live Singleton Births","Count",19
"2000-2002","S01001791","Live Singleton Births","Count",14
"2004-2006","S01001791","Low Weight Births","Count",1
"2010-2012","S01001791","Low Weight Births","Count",0
"2011-2013","S01001791","Live Singleton Births","Count",15
"2001-2003","S01001791","Live Singleton Births","Count",14
"2005-2007","S01001791","Low Weight Births","Count",1
"2002-2004","S01001791","Live Singleton Births","Count",15
"2011-2013","S01001791","Low Weight Births","Count",0
"2003-2005","S01001791","Live Singleton Births","Count",16
"2006-2008","S01001791","Low Weight Births","Count",1
"2004-2006","S01001791","Live Singleton Births","Count",13
"2007-2009","S01001791","Low Weight Births","Count",0
"2005-2007","S01001791","Live Singleton Births","Count",11
"2000-2002","S01001791","Low Weight Births","Count",0
"2008-2010","S01001791","Low Weight Births","Count",0
"2006-2008","S01001791","Live Singleton Births","Count",8
"2010-2012","S01001791","Low Weight Births","Ratio",0
"2005-2007","S01001791","Low Weight Births","Ratio","9.09"
"2006-2008","S01001791","Low Weight Births","Ratio","12.5"
"2011-2013","S01001791","Low Weight Births","Ratio",0
"2007-2009","S01001791","Low Weight Births","Ratio",0
"2008-2010","S01001791","Low Weight Births","Ratio",0
"2000-2002","S01001791","Low Weight Births","Ratio",0
"2001-2003","S01001791","Low Weight Births","Ratio",0
"2002-2004","S01001791","Low Weight Births","Ratio",0
"2003-2005","S01001791","Low Weight Births","Ratio",0
"2009-2011","S01001791","Low Weight Births","Ratio",0
"2004-2006","S01001791","Low Weight Births","Ratio","7.69"
"2007-2009","S01001792","Live Singleton Births","Count",28
"2008-2010","S01001792","Live Singleton Births","Count",28
"2001-2003","S01001792","Low Weight Births","Count",0
"2002-2004","S01001792","Low Weight Births","Count",1
"2009-2011","S01001792","Low Weight Births","Count",0
"2009-2011","S01001792","Live Singleton Births","Count",25
"2003-2005","S01001792","Low Weight Births","Count",1
"2010-2012","S01001792","Live Singleton Births","Count",26
"2000-2002","S01001792","Live Singleton Births","Count",19
"2004-2006","S01001792","Low Weight Births","Count",1
"2010-2012","S01001792","Low Weight Births","Count",0
"2011-2013","S01001792","Live Singleton Births","Count",26
"2001-2003","S01001792","Live Singleton Births","Count",14
"2005-2007","S01001792","Low Weight Births","Count",0
"2002-2004","S01001792","Live Singleton Births","Count",15
"2011-2013","S01001792","Low Weight Births","Count",0
"2003-2005","S01001792","Live Singleton Births","Count",13
"2006-2008","S01001792","Low Weight Births","Count",0
"2004-2006","S01001792","Live Singleton Births","Count",21
"2007-2009","S01001792","Low Weight Births","Count",0
"2005-2007","S01001792","Live Singleton Births","Count",20
"2000-2002","S01001792","Low Weight Births","Count",0
"2008-2010","S01001792","Low Weight Births","Count",0
"2006-2008","S01001792","Live Singleton Births","Count",25
"2010-2012","S01001792","Low Weight Births","Ratio",0
"2005-2007","S01001792","Low Weight Births","Ratio",0
"2006-2008","S01001792","Low Weight Births","Ratio",0
"2011-2013","S01001792","Low Weight Births","Ratio",0
"2007-2009","S01001792","Low Weight Births","Ratio",0
"2008-2010","S01001792","Low Weight Births","Ratio",0
